央视,#genre#
CCTV-1,http://live.nctv.top/6688/yangshi.php?id=1
CCTV-2,http://live.nctv.top/6688/yangshi.php?id=2
CCTV-3,http://live.nctv.top/6688/yangshi.php?id=3
CCTV-4,http://live.nctv.top/6688/yangshi.php?id=4
CCTV-5,http://live.nctv.top/6688/yangshi.php?id=5
CCTV-5+,http://live.nctv.top/6688/yangshi.php?id=18
CCTV-6,http://live.nctv.top/6688/yangshi.php?id=6
CCTV-7,http://live.nctv.top/6688/yangshi.php?id=7
CCTV-8,http://live.nctv.top/6688/yangshi.php?id=8
CCTV-9,http://live.nctv.top/6688/yangshi.php?id=9
CCTV-10,http://live.nctv.top/6688/yangshi.php?id=10
CCTV-11,http://live.nctv.top/6688/yangshi.php?id=11
CCTV-12,http://live.nctv.top/6688/yangshi.php?id=12
CCTV-13,http://live.nctv.top/6688/yangshi.php?id=13
CCTV-14,http://live.nctv.top/6688/yangshi.php?id=14
CCTV-15,http://live.nctv.top/6688/yangshi.php?id=15
CCTV-16,http://live.nctv.top/6688/yangshi.php?id=16
CCTV-17,http://live.nctv.top/6688/yangshi.php?id=17
CCTV-4K,http://live.nctv.top/6688/yangshi.php?id=19
CCTV-8K,http://live.nctv.top/6688/yangshi.php?id=20
CCTV-兵器科技,http://live.nctv.top/6688/yangshi.php?id=21
CCTV-第一剧场,http://live.nctv.top/6688/yangshi.php?id=22
CCTV-怀旧剧场,http://live.nctv.top/6688/yangshi.php?id=23
CCTV-风云剧场,http://live.nctv.top/6688/yangshi.php?id=24
CCTV-风云音乐,http://live.nctv.top/6688/yangshi.php?id=25
CCTV-风云足球,http://live.nctv.top/6688/yangshi.php?id=26
CCTV-电视指南,http://live.nctv.top/6688/yangshi.php?id=27
CCTV-女性时尚,http://live.nctv.top/6688/yangshi.php?id=28
CCTV-央视文化精品,http://live.nctv.top/6688/yangshi.php?id=29
CCTV-世界地理,http://live.nctv.top/6688/yangshi.php?id=30
CCTV-高尔夫网球,http://live.nctv.top/6688/yangshi.php?id=31
CCTV-央视台球,http://live.nctv.top/6688/yangshi.php?id=32
CCTV-卫生健康,http://live.nctv.top/6688/yangshi.php?id=33
卫视,#genre#
湖南卫视,http://live.nctv.top/6688/yangshi.php?id=1001
北京卫视,http://live.nctv.top/6688/yangshi.php?id=1101
浙江卫视,http://live.nctv.top/6688/yangshi.php?id=1201
东方卫视,http://live.nctv.top/6688/yangshi.php?id=1301
深圳卫视,http://live.nctv.top/6688/yangshi.php?id=1401
广东卫视,http://live.nctv.top/6688/yangshi.php?id=1501
江苏卫视,http://live.nctv.top/6688/yangshi.php?id=1601
江西卫视,http://live.nctv.top/6688/yangshi.php?id=1701
安徽卫视,http://live.nctv.top/6688/yangshi.php?id=1801
四川卫视,http://live.nctv.top/6688/yangshi.php?id=1901
贵州卫视,http://live.nctv.top/6688/yangshi.php?id=2001
东南卫视,http://live.nctv.top/6688/yangshi.php?id=2101
重庆卫视,http://live.nctv.top/6688/yangshi.php?id=2201
天津卫视,http://live.nctv.top/6688/yangshi.php?id=2301
山东卫视,http://live.nctv.top/6688/yangshi.php?id=2401
河南卫视,http://live.nctv.top/6688/yangshi.php?id=2501
海南卫视,http://live.nctv.top/6688/yangshi.php?id=2601
辽宁卫视,http://live.nctv.top/6688/yangshi.php?id=2701
广西卫视,http://live.nctv.top/6688/yangshi.php?id=2801
黑龙江卫视,http://live.nctv.top/6688/yangshi.php?id=2901
河北卫视,http://live.nctv.top/6688/yangshi.php?id=3001
湖北卫视,http://live.nctv.top/6688/yangshi.php?id=3101
新疆卫视,http://live.nctv.top/6688/yangshi.php?id=3201
吉林卫视,http://live.nctv.top/6688/bfgd.php?id=097
山西卫视,http://live.nctv.top/6688/bfgd.php?id=109
内蒙古卫视,http://live.nctv.top/6688/bfgd.php?id=110
青海卫视,http://live.nctv.top/6688/bfgd.php?id=111
陕西卫视,http://live.nctv.top/6688/bfgd.php?id=114
云南卫视,http://live.nctv.top/6688/bfgd.php?id=115
延边卫视,http://live.nctv.top/6688/bfgd.php?id=117
宁夏卫视,http://live.nctv.top/6688/bfgd.php?id=118
甘肃卫视,http://live.nctv.top/6688/bfgd.php?id=119
西藏卫视,http://live.nctv.top/6688/bfgd.php?id=121
农林卫视,http://live.nctv.top/6688/bfgd.php?id=122
兵团卫视,http://live.nctv.top/6688/bfgd.php?id=124
港台,#genre#
凤凰卫视中文台,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰卫视资讯台,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰卫视香港台,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
