央视,#genre#
CCTV1 综合,http://114.66.63.22:5000/TVOD/5000000004000002226/bestzb/index.m3u8?
CCTV2 财经,http://114.66.63.22:5000/TVOD/5000000011000031101/bestzb/index.m3u8?
CCTV3 综艺,http://114.66.63.22:5000/TVOD/5000000004000008883/bestzb/index.m3u8?
CCTV4 中文国际,http://114.66.63.22:5000/TVOD/5000000011000031102/bestzb/index.m3u8?
CCTV5 体育,http://114.66.63.22:5000/TVOD/5000000004000008885/bestzb/index.m3u8?
CCTV5+ 体育赛事,http://114.66.63.22:5000/TVOD/5000000011000031127/bestzb/index.m3u8?
CCTV6 电影,http://114.66.63.22:5000/TVOD/5000000004000008886/bestzb/index.m3u8?
CCTV7 国防军事,http://114.66.63.22:5000/TVOD/5000000011000031104/bestzb/index.m3u8?
CCTV8 电视剧,http://114.66.63.22:5000/TVOD/5000000004000008888/bestzb/index.m3u8?
CCTV9 记录,http://114.66.63.22:5000/TVOD/5000000010000018384/bestzb/index.m3u8?
CCTV10 科教,http://114.66.63.22:5000/TVOD/5000000004000012827/bestzb/index.m3u8?
CCTV11 戏曲,http://114.66.63.22:5000/TVOD/5000000011000031106/bestzb/index.m3u8?
CCTV12 社会与法,http://114.66.63.22:5000/TVOD/5000000011000031107/bestzb/index.m3u8?
CCTV13 新闻,http://114.66.63.22:5000/TVOD/5000000011000031108/bestzb/index.m3u8?
CCTV14 少儿,http://114.66.63.22:5000/TVOD/5000000004000006673/bestzb/index.m3u8?
CCTV15 音乐,http://114.66.63.22:5000/TVOD/5000000011000031109/bestzb/index.m3u8?
CCTV16 奥林匹克,http://114.66.63.22:5000/TVOD/5000000008000023253/bestzb/index.m3u8?
卫视,#genre#
安徽卫视,http://114.66.63.22:5000/TVOD/5000000004000023002/bestzb/index.m3u8?
北京卫视,http://114.66.63.22:5000/TVOD/5000000004000031556/bestzb/index.m3u8?
兵团卫视,http://114.66.63.22:5000/TVOD/5000000006000040020/bestzb/index.m3u8?
福建东南卫视,http://114.66.63.22:5000/TVOD/5000000004000010584/bestzb/index.m3u8?
甘肃卫视,http://114.66.63.22:5000/TVOD/5000000011000031121/bestzb/index.m3u8?
广东卫视,http://114.66.63.22:5000/TVOD/5000000004000014694/bestzb/index.m3u8?
广西卫视,http://114.66.63.22:5000/TVOD/5000000011000031118/bestzb/index.m3u8?
贵州卫视,http://114.66.63.22:5000/TVOD/5000000004000025843/bestzb/index.m3u8?
海南卫视,http://114.66.63.22:5000/TVOD/5000000004000006211/bestzb/index.m3u8?
河北卫视,http://114.66.63.22:5000/TVOD/5000000006000040016/bestzb/index.m3u8?
河南卫视,http://114.66.63.22:5000/TVOD/5000000011000031119/bestzb/index.m3u8?
黑龙江卫视,http://114.66.63.22:5000/TVOD/5000000004000025203/bestzb/index.m3u8?
湖北卫视,http://114.66.63.22:5000/TVOD/5000000004000014954/bestzb/index.m3u8?
湖南卫视,http://114.66.63.22:5000/TVOD/5000000004000006692/bestzb/index.m3u8?
吉林卫视,http://114.66.63.22:5000/TVOD/5000000011000031117/bestzb/index.m3u8?
江苏卫视,http://114.66.63.22:5000/TVOD/5000000004000019351/bestzb/index.m3u8?
江西卫视,http://114.66.63.22:5000/TVOD/5000000004000011210/bestzb/index.m3u8?
辽宁卫视,http://114.66.63.22:5000/TVOD/5000000004000011671/bestzb/index.m3u8?
宁夏卫视,http://114.66.63.22:5000/TVOD/5000000006000040022/bestzb/index.m3u8?
青海卫视,http://114.66.63.22:5000/TVOD/5000000006000040015/bestzb/index.m3u8?
山东卫视,http://114.66.63.22:5000/TVOD/5000000004000020424/bestzb/index.m3u8?
山西卫视,http://114.66.63.22:5000/TVOD/5000000006000040023/bestzb/index.m3u8?
陕西卫视,http://114.66.63.22:5000/TVOD/5000000006000040017/bestzb/index.m3u8?
上海东方卫视,http://114.66.63.22:5000/TVOD/5000000004000014098/bestzb/index.m3u8?
深圳卫视,http://114.66.63.22:5000/TVOD/5000000004000007410/bestzb/index.m3u8?
四川卫视,http://114.66.63.22:5000/TVOD/5000000004000006119/bestzb/index.m3u8?
天津卫视,http://114.66.63.22:5000/TVOD/5000000004000006827/bestzb/index.m3u8?
新疆卫视,http://114.66.63.22:5000/TVOD/5000000006000040018/bestzb/index.m3u8?
云南卫视,http://114.66.63.22:5000/TVOD/5000000011000031120/bestzb/index.m3u8?
浙江卫视,http://114.66.63.22:5000/TVOD/5000000004000007275/bestzb/index.m3u8?
重庆卫视,http://114.66.63.22:5000/TVOD/5000000004000025797/bestzb/index.m3u8?
港台,#genre#
凤凰卫视中文台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰卫视资讯台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
