央视,#genre#
CCTV1 综合,http://218.71.45.167:9999/rtp/233.50.201.118:5140
CCTV2 财经,http://218.71.45.167:9999/rtp/233.50.201.119:5140
CCTV3 综艺,http://218.71.45.167:9999/rtp/233.50.201.196:5140
CCTV4 国际,http://218.71.45.167:9999/rtp/233.50.201.4:5140
CCTV5 体育,http://218.71.45.167:9999/rtp/233.50.201.197:5140
CCTV5+ 赛事,http://218.71.45.167:9999/rtp/233.50.201.220:5140
CCTV6 电影,http://218.71.45.167:9999/rtp/233.50.201.198:5140
CCTV7 军事,http://218.71.45.167:9999/rtp/233.50.201.120:5140
CCTV8 电视,http://218.71.45.167:9999/rtp/233.50.201.199:5140
CCTV9 纪录,http://218.71.45.167:9999/rtp/233.50.201.121:5140
CCTV10 科教,http://218.71.45.167:9999/rtp/233.50.201.122:5140
CCTV11 戏曲,http://218.71.45.167:9999/rtp/233.50.201.11:5140
CCTV12 社会与法,http://218.71.45.167:9999/rtp/233.50.201.123:5140
CCTV13 新闻,http://218.71.45.167:9999/rtp/233.50.201.246:5140
CCTV14 少儿,http://218.71.45.167:9999/rtp/233.50.201.124:5140
CCTV15 音乐,http://218.71.45.167:9999/rtp/233.50.201.15:5140
CCTV16 奥林匹克,http://218.71.45.167:9999/rtp/233.50.201.192:5140
CCTV17 农业农村,http://218.71.45.167:9999/rtp/233.50.201.35:5140
卫视,#genre#
湖南卫视,http://218.71.45.167:9999/rtp/233.50.201.103:5140
浙江卫视,http://218.71.45.167:9999/rtp/233.50.201.100:5140
江苏卫视,http://218.71.45.167:9999/rtp/233.50.201.106:5140
北京卫视,http://218.71.45.167:9999/rtp/233.50.201.107:5140
东方卫视,http://218.71.45.167:9999/rtp/233.50.201.125:5140
安徽卫视,http://218.71.45.167:9999/rtp/233.50.201.113:5140
广东卫视,http://218.71.45.167:9999/rtp/233.50.201.102:5140
深圳卫视,http://218.71.45.167:9999/rtp/233.50.201.101:5140
辽宁卫视,http://218.71.45.167:9999/rtp/233.50.201.141:5140
海南卫视,http://218.71.45.167:9999/rtp/233.50.201.55:5140
山东卫视,http://218.71.45.167:9999/rtp/233.50.201.105:5140
天津卫视,http://218.71.45.167:9999/rtp/233.50.201.104:5140
重庆卫视,http://218.71.45.167:9999/rtp/233.50.201.143:5140
东南卫视,http://218.71.45.167:9999/rtp/233.50.201.146:5140
甘肃卫视,http://218.71.45.167:9999/rtp/233.50.201.149:5140
广西卫视,http://218.71.45.167:9999/rtp/233.50.201.49:5140
贵州卫视,http://218.71.45.167:9999/rtp/233.50.201.142:5140
河北卫视,http://218.71.45.167:9999/rtp/233.50.201.140:5140
黑龙江卫视,http://218.71.45.167:9999/rtp/233.50.201.115:5140
河南卫视,http://218.71.45.167:9999/rtp/233.50.201.144:5140
湖北卫视,http://218.71.45.167:9999/rtp/233.50.201.114:5140
江西卫视,http://218.71.45.167:9999/rtp/233.50.201.145:5140
吉林卫视,http://218.71.45.167:9999/rtp/233.50.201.48:5140
内蒙古卫视,http://218.71.45.167:9999/rtp/233.50.201.148:5140
宁夏卫视,http://218.71.45.167:9999/rtp/233.50.201.57:5140
山西卫视,http://218.71.45.167:9999/rtp/233.50.201.51:5140
陕西卫视,http://218.71.45.167:9999/rtp/233.50.201.59:5140
四川卫视,http://218.71.45.167:9999/rtp/233.50.201.139:5140
新疆卫视,
云南卫视,http://218.71.45.167:9999/rtp/233.50.201.46:5140
青海卫视,http://218.71.45.167:9999/rtp/233.50.201.65:5140
兵团卫视,http://218.71.45.167:9999/rtp/233.50.201.72:5140
延边卫视,
厦门卫视,
康巴卫视,
西藏卫视,http://218.71.45.167:9999/rtp/233.50.201.70:5140
港台,#genre#
凤凰卫视中文台,http://218.71.45.167:9999/rtp/233.50.200.191:5140
凤凰卫视资讯台,http://218.71.45.167:9999/rtp/233.50.200.192:5140
