央视,#genre#
CCTV1 综合,http://218.0.246.78:8500/rtp/233.50.201.118:5140
CCTV2 财经,http://218.0.246.78:8500/rtp/233.50.201.119:5140
CCTV3 综艺,http://218.0.246.78:8500/rtp/233.50.201.196:5140
CCTV4 国际,http://218.0.246.78:8500/rtp/233.50.201.4:5140
CCTV5 体育,http://218.0.246.78:8500/rtp/233.50.201.197:5140
CCTV5+ 赛事,http://218.0.246.78:8500/rtp/233.50.201.220:5140
CCTV6 电影,http://218.0.246.78:8500/rtp/233.50.201.198:5140
CCTV7 军事,http://218.0.246.78:8500/rtp/233.50.201.120:5140
CCTV8 电视,http://218.0.246.78:8500/rtp/233.50.201.199:5140
CCTV9 记录,http://218.0.246.78:8500/rtp/233.50.201.121:5140
CCTV10 科教,http://218.0.246.78:8500/rtp/233.50.201.122:5140
CCTV11 戏曲,http://218.0.246.78:8500/rtp/233.50.201.11:5140
CCTV12 社会与法,http://218.0.246.78:8500/rtp/233.50.201.123:5140
CCTV13 新闻,http://218.0.246.78:8500/rtp/233.50.201.246:5140
CCTV14 少儿,http://218.0.246.78:8500/rtp/233.50.201.124:5140
CCTV15 音乐,http://218.0.246.78:8500/rtp/233.50.201.15:5140
CCTV16 奥林匹克,http://218.0.246.78:8500/rtp/233.50.201.192:5140
CCTV17 农业农村,http://218.0.246.78:8500/rtp/233.50.201.35:5140
卫视,#genre#
浙江卫视,http://218.0.246.78:8500/rtp/233.50.201.100:5140
深圳卫视,http://218.0.246.78:8500/rtp/233.50.201.101:5140
广东卫视,http://218.0.246.78:8500/rtp/233.50.201.102:5140
湖南卫视,http://218.0.246.78:8500/rtp/233.50.201.103:5140
天津卫视,http://218.0.246.78:8500/rtp/233.50.201.104:5140
山东卫视,http://218.0.246.78:8500/rtp/233.50.201.105:5140
江苏卫视,http://218.0.246.78:8500/rtp/233.50.201.106:5140
北京卫视,http://218.0.246.78:8500/rtp/233.50.201.107:5140
四川卫视,http://218.0.246.78:8500/rtp/233.50.201.139:5140
河北卫视,http://218.0.246.78:8500/rtp/233.50.201.140:5140
辽宁卫视,http://218.0.246.78:8500/rtp/233.50.201.141:5140
贵州卫视,http://218.0.246.78:8500/rtp/233.50.201.142:5140
重庆卫视,http://218.0.246.78:8500/rtp/233.50.201.143:5140
河南卫视,http://218.0.246.78:8500/rtp/233.50.201.144:5140
江西卫视,http://218.0.246.78:8500/rtp/233.50.201.145:5140
东南卫视,http://218.0.246.78:8500/rtp/233.50.201.146:5140
安徽卫视,http://218.0.246.78:8500/rtp/233.50.201.113:5140
湖北卫视,http://218.0.246.78:8500/rtp/233.50.201.114:5140
黑龙江卫视,http://218.0.246.78:8500/rtp/233.50.201.115:5140
东方卫视,http://218.0.246.78:8500/rtp/233.50.201.125:5140
内蒙古卫视,http://218.0.246.78:8500/rtp/233.50.201.148:5140
甘肃卫视,http://218.0.246.78:8500/rtp/233.50.201.149:5140
海南卫视,http://218.0.246.78:8500/rtp/233.50.201.55:5140
青海卫视,http://218.0.246.78:8500/rtp/233.50.201.65:5140
西藏卫视,http://218.0.246.78:8500/rtp/233.50.201.70:5140
陕西卫视,http://218.0.246.78:8500/rtp/233.50.201.59:5140
兵团卫视,http://218.0.246.78:8500/rtp/233.50.201.72:5140
山西卫视,http://218.0.246.78:8500/rtp/233.50.201.51:5140
宁夏卫视,http://218.0.246.78:8500/rtp/233.50.201.57:5140
广西卫视,http://218.0.246.78:8500/rtp/233.50.201.49:5140
云南卫视,http://218.0.246.78:8500/rtp/233.50.201.46:5140
吉林卫视,http://218.0.246.78:8500/rtp/233.50.201.48:5140
港台,#genre#
凤凰卫视中文,http://218.0.246.78:8500/rtp/233.50.200.191:5140
凤凰卫视资讯,http://218.0.246.78:8500/rtp/233.50.200.192:5140
陕西,#genre#
农林卫视,http://124.115.207.92:8081/rtp/239.112.205.27:5140
新闻资讯,http://124.115.207.92:8081/rtp/239.111.205.28:5140
都市青春,http://124.115.207.92:8081/rtp/239.111.205.42:5140
陕西生活,http://124.115.207.92:8081/rtp/239.112.205.20:5140
陕西影视,http://124.115.207.92:8081/rtp/239.112.205.21:5140
陕西公共,http://124.115.207.92:8081/rtp/239.112.205.22:5140
体育休闲,http://124.115.207.92:8081/rtp/239.111.205.36:5140
西部电影,http://124.115.207.92:8081/rtp/239.111.205.41:5140
乐家购物,http://124.115.207.92:8081/rtp/239.112.205.23:5140
新闻综合,http://124.115.207.92:8081/rtp/239.111.205.242:5140
都市频道,http://124.115.207.92:8081/rtp/239.111.205.243:5140
商务资讯,http://124.115.207.92:8081/rtp/239.112.205.174:5140
影视频道,http://124.115.207.92:8081/rtp/239.112.205.175:5140
丝路频道,http://124.115.207.92:8081/rtp/239.112.205.176:5140
西安教育,http://124.115.207.92:8081/rtp/239.112.205.142:5140
商洛,#genre#
商洛电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225666/index.m3u8
山阳影视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225951/index.m3u8
山阳新闻,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225950/index.m3u8
商州融媒,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225875/index.m3u8
洛南电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225949/index.m3u8
丹凤电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225952/index.m3u8
镇安综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225876/index.m3u8
商南电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225953/index.m3u8
柞水电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225877/index.m3u8
