央视,#genre#
CCTV1 综合,http://218.71.45.167:9999/rtp/233.50.201.118:5140
CCTV2 财经,http://218.71.45.167:9999/rtp/233.50.201.119:5140
CCTV3 综艺,http://218.71.45.167:9999/rtp/233.50.201.196:5140
CCTV4 国际,http://218.71.45.167:9999/rtp/233.50.201.4:5140
CCTV5 体育,http://218.71.45.167:9999/rtp/233.50.201.197:5140
CCTV5+ 赛事,http://218.71.45.167:9999/rtp/233.50.201.220:5140
CCTV6 电影,http://218.71.45.167:9999/rtp/233.50.201.198:5140
CCTV7 军事,http://218.71.45.167:9999/rtp/233.50.201.120:5140
CCTV8 电视,http://218.71.45.167:9999/rtp/233.50.201.199:5140
CCTV9 纪录,http://218.71.45.167:9999/rtp/233.50.201.121:5140
CCTV10 科教,http://218.71.45.167:9999/rtp/233.50.201.122:5140
CCTV11 戏曲,http://218.71.45.167:9999/rtp/233.50.201.11:5140
CCTV12 社会与法,http://218.71.45.167:9999/rtp/233.50.201.123:5140
CCTV13 新闻,http://218.71.45.167:9999/rtp/233.50.201.246:5140
CCTV14 少儿,http://218.71.45.167:9999/rtp/233.50.201.124:5140
CCTV15 音乐,http://218.71.45.167:9999/rtp/233.50.201.15:5140
CCTV16 奥林匹克,http://218.71.45.167:9999/rtp/233.50.201.192:5140
CCTV17 农业农村,http://218.71.45.167:9999/rtp/233.50.201.35:5140
